,Zip Code,Population,State,City,Longitude,ID,Latitude,Customer ID,Country,Satisfaction Score,Churn Category
0,90022.0,68701.0,0.0,550.0,-118.156582,21.0,34.02381,1746-TGTWV,0.0,,1
1,141.27549928291427,35.593571234265795,0.0,550.0,-118.22971499999998,1.178314101668725,34.108833000000004,2041-JIJCI,0.0,,1
2,90303.0,27778.0,0.0,445.0,-118.33263899999999,100.0,33.936291,5832-EXGTT,0.0,2.0,2
3,90602.0,26265.0,0.0,1067.0,-118.02018799999999,114.0,34.15938035770028,8350-NYMVI,0.0,2.0,4
4,90720.0,21343.0,0.0,548.0,-118.065591,140.0,34.32520041846543,3458-IDMFK,0.0,2.0,5
5,91605.0,57146.0,0.0,672.0,-118.40002199999999,239.0,34.207295,6648-INWPS,0.0,1.0,2
6,6.513847565309744,1.2266611742357727,0.0,0.04016782958083331,-117.90673600000001,0.058438272233433806,34.097345000000004,3196-NVXLZ,0.0,1.0,1
7,92122.0,34902.0,0.0,849.0,-117.209774,373.0,32.85723,3522-CDKHF,0.0,2.0,1
8,92122.0,34902.0,0.0,849.0,-117.209774,373.0,32.85723,9351-LZYGF,0.0,1.0,1
9,92122.0,34902.0,0.0,584.8223372069192,-117.209774,373.0,34.53012347387451,8999-XXGNS,0.0,,5
10,92122.0,34902.0,0.0,849.0,-117.209774,373.0,32.85723,9540-JYROE,0.0,1.0,1
11,92274.0,17018.0,0.0,988.0,-115.25282796312166,421.0,33.53604,9609-BENEA,0.0,2.0,2
12,92544.0,39264.0,0.0,412.0,-116.49627551618944,510.0,33.644585,0479-HMSWA,0.0,1.0,1
13,92571.0,26357.0,0.0,573.7489564090315,-117.20166599999999,523.0,34.914216983994486,7750-EYXWZ,0.0,1.0,3
14,242.04693951815148,61.28817685589602,0.0,961.0,-119.60136999999999,2.015770504282775,34.420998,7929-DMBCV,0.0,2.0,1
15,93208.0,191.0,0.0,142.0,-118.591951,650.0,36.057458000000004,5614-DNZCE,0.0,1.0,1
16,92592.0,46171.0,0.0,982.0,-117.029473,532.0,33.507255,2550-AEVRU,0.0,,1
17,92129.0,47224.0,0.0,849.0,-117.13491699999999,379.0,34.229197556105746,7207-RMRDB,0.0,3.0,5
18,92129.0,47224.0,0.0,604.5588889340607,-116.30692257065242,379.0,32.961064,2424-WVHPL,0.0,3.0,1
19,93606.0,807.0,0.0,87.0,-120.01951100000001,794.0,36.798882,4342-HFXWS,0.0,1.0,1
20,93662.0,26213.0,0.0,902.0,-119.64228100000001,835.0,36.545322,1866-NXPSP,0.0,,1
21,93675.0,3146.0,0.0,944.0,-119.20267700000001,843.0,36.719141,2135-DQWAQ,0.0,3.0,5
22,94512.0,138.0,0.0,88.0,-121.838298,957.0,38.140719,8883-ANODQ,0.0,,5
23,94514.0,10153.0,0.0,127.0,-121.60146100000001,959.0,37.83323,1023-BQXZE,0.0,2.0,5
24,94550.0,75929.0,0.0,664.3730942400877,-121.65956200000001,982.0,37.571748,7596-IIWYC,0.0,1.0,1
25,94583.0,44078.0,0.0,874.0,-121.97678400000001,1006.0,37.766556,4078-SAYYN,0.0,2.0,1
26,94588.0,28568.0,0.0,769.0,-121.91206100000001,1010.0,37.685052,2884-GBPFB,0.0,1.0,1
27,94707.0,11889.0,0.0,74.0,-118.06422080672534,1038.0,37.897753,4355-CVPVS,0.0,1.0,3
28,94710.0,8157.0,0.0,74.0,-122.30370800000001,1041.0,37.872902,8883-GRDWQ,0.0,1.0,1
29,94933.0,1025.0,0.0,333.0,-122.68944199999999,1059.0,38.010092,1657-DYMBM,0.0,1.0,1
30,95020.0,49968.0,0.0,363.0,-121.52895500000001,1095.0,37.03889,1618-CFHME,0.0,,3
31,95135.0,15798.0,0.0,858.0,-121.723877,1141.0,37.28682,6674-KVJHG,0.0,,1
32,95232.0,21.0,0.0,365.0,-120.57930400000001,1169.0,36.58905847998136,1090-ESELR,0.0,2.0,3
33,95310.0,2144.0,0.0,209.0,-120.37855,1191.0,38.085839,5286-YHCVC,0.0,1.0,1
34,90712.0,30173.0,0.0,508.0,-118.148403,135.0,33.840524,4163-KIUHY,0.0,2.0,1
35,21.727342229251786,5.1346560397489265,0.0,63.0,-124.049485,0.18458305846470197,0.008390883528494463,2165-VOEGB,0.0,3.0,2
36,95551.0,1447.0,0.0,539.0,-118.69148324541406,1340.0,40.665952000000004,2612-PHGOX,0.0,2.0,3
37,95618.0,648.0,0.0,245.0,-121.68555900000001,1376.0,38.544002,7134-MJPDY,0.0,1.0,1
38,95923.0,86.0,0.0,151.0,-121.120605,1504.0,40.171312,5244-IRFIH,0.0,,1
39,95942.0,1351.0,0.0,334.0,-119.17371714636695,1517.0,40.077028000000006,2868-SNELZ,0.0,3.0,3
40,92028.0,42239.0,0.0,314.0,-117.299644,328.0,33.362575,7801-KICAO,0.0,3.0,1
41,96052.0,1845.0,0.0,524.0,-119.33296604611624,1599.0,40.704293,0196-JTUQI,0.0,2.0,1
42,208.52804191945205,53.13302016423232,0.0,849.0,-0.2663570803555539,1.7333320929939442,32.957195,0014-BMAQU,0.0,,1
43,92130.0,28201.0,0.0,849.0,-117.202542,380.0,34.69925610234867,7248-VZQLC,0.0,2.0,1
44,92130.0,28201.0,0.0,849.0,-117.202542,380.0,34.69925610234867,4316-XCSLJ,0.0,1.0,1
45,214.46213447664974,54.26321012432419,0.0,849.0,-117.202542,1.7864431829820315,32.957195,4781-ZXYGU,0.0,3.0,1
46,214.46125108935922,54.26306648553313,0.0,849.0,-117.202937,1.7864350325389198,32.898613,7572-KPVKK,0.0,2.0,1
