,Multiple Lines,Monthly Charge,Online Security,Phone Service,Age,Contract,Internet Type,Senior Citizen,Avg Monthly Long Distance Charges,Total Refunds,Paperless Billing,Unlimited Data,Latitude,Premium Tech Support,Referred a Friend,Streaming TV,Zip Code,Avg Monthly GB Download,Device Protection Plan,Number of Dependents,Total Long Distance Charges,Under 30,Tenure in Months,Gender,Population,Internet Service,Total Charges,Payment Method,Online Backup,Dependents,Offer,Longitude,Streaming Movies,Streaming Music,City,Married,Total Extra Data Charges,Total Revenue,Number of Referrals,Satisfaction Score,Churn Category
0,0.0,39.65,0.0,0.0,78.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,34.02381,0.0,0.0,0.0,90022.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,68701.0,1.0,200.25490546116967,0.0,0.0,0.0,0.0,-118.156582,1.0,0.0,550.0,0.0,20.0,59.65,0.0,,1
1,0.0,98.5,0.0,0.9257572901237612,78.0,0.0,1.637200361723781,1.0,19.76,0.0,1.0,1.0,33.936291,0.7786090195396611,1.0,1.0,90303.0,12.0,1.0,1.0,494.00000000000006,0.0,25.0,0.0,27778.0,1.0,2514.5,0.0,1.0,1.0,3.0,-118.33263899999999,1.0,0.34010825554024954,445.0,1.0,0.0,2995.07,1.0,2.0,2
2,0.41261452508629,76.5,0.0,1.0,80.0,0.0,2.0,1.0,6.33,0.0,1.0,1.0,35.093141,0.0,1.0,0.4091903752680525,90602.0,19.727277062751785,0.37080410175650425,1.0,234.21,0.0,37.0,0.5,26265.0,1.0,2868.15,0.0,0.6491046107207931,1.0,3.0,-118.02018799999999,0.0,0.0,1067.0,0.6666666666666666,0.0,3102.36,1.0,2.0,4
3,0.05508996614652675,70.45,0.07160708550597993,1.0,76.0,0.0,2.0,1.0,29.608783659874547,0.0,1.0,1.0,35.82104116666667,0.0,1.0,0.0,90720.0,30.0,0.0,0.0,15.28,0.0,1.0,0.0,21343.0,1.0,70.45,2.0,0.0,0.0,5.0,-118.065591,0.0,0.0,548.0,1.0,0.0,85.73,1.0,2.0,5
4,0.0,83.05968312974152,0.0,1.0,65.0,0.0,2.0,1.0,29.11,0.0,1.0,1.0000000117357757,34.097345000000004,0.0,0.0,0.0,93297.16666666667,29.0,0.20965495017285873,0.0,436.65,0.0,5.1466715947093515,1.0,11399.166666666666,1.0,1074.3,0.15228447753418636,1.0,0.0,4.0,-117.90673600000001,0.0,0.0,719.6666666666666,0.0,0.0,1510.9499999999996,0.0,1.0,1
5,0.0,93.15,0.0,1.0,77.0,0.0,1.6959504161060666,1.0,16.1,0.0,1.0,1.0,32.85723,0.0,1.0,1.0,92122.0,12.0,1.0,0.0,386.4,0.0,24.0,1.0,34902.0,1.0,2231.05,0.0,0.0,0.0,3.0,-117.209774,0.33689289637401476,1.0,849.0,1.0,0.0,2617.4500000000007,1.0,2.0,1
6,0.0,70.35,0.0,1.0,74.0,0.0,2.0,1.0,13.17,0.0,1.0,1.0,35.85725,0.0,0.0,0.0,92122.0,15.300832118398988,0.0,0.0,26.34,0.0,2.0,0.0,34902.0,1.0,139.05,0.0,0.0,0.0,5.0,-117.209774,0.0,0.0,468.0,0.0,0.0,165.39,0.0,,5
7,0.3194107637195265,94.1,0.0,1.0,77.0,0.533366296244413,1.5971164312668436,1.0,48.73,0.0,0.4704618797537942,0.6608135908039877,33.644585,0.0,0.0,0.0,92544.0,12.0,1.0,0.0,974.6,0.0,20.0,0.0,39264.0,1.0,1782.4,0.0,1.0,0.0,0.0,-118.48290266666666,1.0,0.0,412.0,0.0,0.0,2837.0,0.0,1.0,1
8,0.0,74.58852270484869,1.0,1.0,80.0,0.0,0.0,1.0,19.035057178825927,0.0,1.0,1.0,36.319085333333334,0.0,1.0,0.0,92571.0,25.0,0.0,0.0,189.54,0.0,13.649365266582858,0.0,26357.0,1.0,1929.35,0.0,0.0,0.0,1.2555244212716135,-117.20166599999999,0.0,0.0,707.1666666666666,1.0,0.0,2118.89,2.0,1.0,3
9,1.0,90.05,0.0,1.0,75.0,0.0,2.0,0.6666666666666666,26.16321224249456,0.0,0.0,1.0,34.420998,0.0,1.0,0.0,94212.0,14.0,0.0,0.0,1147.5970556260695,0.0,49.0,1.0,5653.666666666667,1.0,4547.25,1.0,1.0,0.0,2.0,-119.60136999999999,1.0,0.0,961.0,0.8333333333333334,0.0,4329.820326997828,3.0,2.0,1
