,Customer ID,Count_x,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Count_y,Country,State,City,Zip Code,Latitude,Longitude,ID,Population,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Category
0,1746-TGTWV,1.0,1.0,78.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,550.0,90022.0,34.02381,-118.156582,21.0,68701.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.00788124330544755,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,39.65,54.44299827081582,0.0,20.0,0.0,59.65,,1
1,8499-BRXTD,1.0,0.0,74.0,0.0,1.0,1.0,0.3025657380943358,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,8.0,5.0,0.195882407811831,48.85,1.0,1.0,2.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0928344431468604,80.65,633.3,0.0,0.0,390.8,1024.1,3.0,1
2,2041-JIJCI,1.0,1.0,71.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,550.0,141.27592341739648,34.108833000000004,-118.22971499999998,1.1783178744781257,35.59365435989895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,5832-EXGTT,1.0,0.0,78.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,445.0,90303.0,33.936291,-118.33263899999999,100.0,27778.0,1.0,1.0,1.0,1.0,25.0,3.0,0.451410267890393,19.76,0.0,1.0,0.7545773004664095,12.0,0.0,1.0,1.0,0.26871858402832993,1.0,1.0,0.3137286757748148,1.0,0.0,1.0,0.0,98.5,2514.5,1.053030407768258,0.0,494.00000000000006,2995.07,2.0,2
4,8350-NYMVI,1.4939897339575423,0.7631068501910697,80.0,0.0,1.0,0.7299986934721118,1.0,1.0,1.0,0.0,0.0,1067.0,90602.0,34.15938037979729,-118.02018799999999,114.0,26265.0,1.0,1.0,1.0,1.0,37.0,3.0,1.0,6.33,0.3628909911595859,1.0,2.0,15.422995925350978,0.0,0.3762714120825815,0.3926305426427686,0.0,0.42068768564922193,0.0,0.0,1.0,0.0,1.0,0.0,76.5,2868.15,0.0,0.0,234.21,3102.36,2.0,4
5,7284-BUYEC,1.0,0.0,72.0,0.13535405658060493,1.0,0.6463800395124105,1.0,0.5906293009561571,,,,,,,,,,1.0,1.0,0.0,0.0,27.0,3.0,1.0,3.33,1.0,1.0,2.0,18.0,0.0,0.0,0.2963048662427338,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.05,2135.5,0.7434227781689152,10.0,89.91,2235.41,1.0,1
6,3458-IDMFK,1.0,0.0,76.0,0.0,1.0,1.0,0.29538511260932515,0.6010254000651198,1.0,0.0,0.0,548.0,90720.0,34.325200441535216,-118.065591,140.0,21343.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.2880012509461412,0.009782165433144236,1.0,2.0,30.0,0.007161657875255347,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,70.45,70.45,0.0,0.0,15.28,85.73,2.0,5
7,6648-INWPS,1.0,0.0,78.0,0.0,1.0,0.7079104623208115,1.0,1.0,1.0,0.0,0.0,672.0,91605.0,34.207295,-118.40002199999999,239.0,57146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2
8,3196-NVXLZ,1.0,1.0,65.0,0.1127363025380424,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04017045614652129,6.514272618407616,34.097345000000004,-117.90673600000001,0.058442052775624864,1.2267445242568973,1.0,1.0,0.0,0.0,13.702555485368146,4.0,1.0,29.11,0.0,1.0,2.0,29.0,0.0,1.0,0.13215285154176826,0.0,0.0,0.0,0.0,0.18637185650352206,0.0,1.0,0.1215734678295217,20.389580978627723,1074.3,0.5586345059009036,0.0,436.65,1510.9499999999996,1.0,1
9,5939-SXWHM,1.0,1.0,77.0,0.0,1.0,1.0,0.28196915665613637,0.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,5.0,0.004840742194980541,0.0,0.0,1.0,1.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,40.2,40.2,0.0,0.0,0.0,40.2,,2
