,Multiple Lines,Monthly Charge,Online Security,Phone Service,Contract,Internet Type,Avg Monthly Long Distance Charges,Total Refunds,Paperless Billing,Unlimited Data,Premium Tech Support,Referred a Friend,Streaming TV,Avg Monthly GB Download,Device Protection Plan,Total Long Distance Charges,Tenure in Months,Internet Service,Total Charges,Payment Method,Online Backup,Offer,Streaming Movies,Total Revenue,Streaming Music,Total Extra Data Charges,Count,Number of Referrals,Satisfaction Score,Churn Category
0,0.0,39.65,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,200.25490546116967,0.0,0.0,0.0,1.0,59.65,0.0,20.0,1.0,0.0,,1
1,1.0,80.65,0.0,0.9999999890906361,0.0,2.0,48.85,0.0,1.0,1.0,0.0,1.0,0.0,17.0,0.0,390.8,8.0,1.0,633.3,0.7317525798463612,1.0,5.0,0.0,1024.1,0.0,0.0,1.0,1.0,3.0,1
2,0.0,98.5,0.0,0.9257572901237612,0.0,1.637200361723781,19.76,0.0,1.0,1.0,0.7786090195396611,1.0,1.0,12.0,1.0,494.00000000000006,25.0,1.0,2514.5,0.0,1.0,3.0,1.0,2995.07,0.34010825554024954,0.0,1.0,1.0,2.0,2
3,0.41261452508629,76.5,0.0,1.0,0.0,2.0,6.33,0.0,1.0,1.0,0.0,1.0,0.4091903752680525,19.727277062751785,0.37080410175650425,234.21,37.0,1.0,2868.15,0.0,0.6491046107207931,3.0,0.0,3102.36,0.0,0.0,1.0,1.0,2.0,4
4,1.0,78.05,0.0,1.0,0.0,2.0,3.33,9.68493925715482,1.0,0.0,0.0,0.0,0.0,18.0,0.24496393974434982,89.91,27.0,1.0,2135.5,0.0,0.0,3.0,0.0,2235.41,0.0,10.0,1.0,0.0,1.0,1
5,0.05508996614652675,70.45,0.07160708550597993,1.0,0.0,2.0,29.608783659874547,0.0,1.0,1.0,0.0,1.0,0.0,30.0,0.0,15.28,1.0,1.0,70.45,2.0,0.0,5.0,0.0,85.73,0.0,0.0,1.0,1.0,2.0,5
6,0.0,83.05968312974152,0.0,1.0,0.0,2.0,29.11,0.0,1.0,1.0000000117357757,0.0,0.0,0.0,29.0,0.20965495017285873,436.65,5.1466715947093515,1.0,1074.3,0.15228447753418636,1.0,4.0,0.0,1510.9499999999996,0.0,0.0,1.0,0.0,1.0,1
7,0.0,40.2,0.0,0.25387409401841843,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.0,0.0,0.0,1.0,1.0,40.2,0.0,1.0,5.0,0.0,40.2,0.0,0.0,1.0,1.0,,2
8,0.0,93.15,0.0,1.0,0.0,1.6959504161060666,16.1,0.0,1.0,1.0,0.0,1.0,1.0,12.0,1.0,386.4,24.0,1.0,2231.05,0.0,0.0,3.0,0.33689289637401476,2617.4500000000007,1.0,0.0,1.0,1.0,2.0,1
9,0.0,70.35,0.0,1.0,0.0,2.0,13.17,0.0,1.0,1.0,0.0,0.0,0.0,15.300832118398988,0.0,26.34,2.0,1.0,139.05,0.0,0.0,5.0,0.0,165.39,0.0,0.0,1.0,0.0,,5
10,0.0,28.45,0.0,0.0,0.0,1.0,0.0,0.0,0.3446791921540971,1.0,0.0,0.0,0.0,26.0,0.0,0.0,5.0,0.9999999593944445,131.05,0.0,1.0,5.0,0.0,131.05,0.0,0.0,1.0,0.0,2.0,2
11,0.3194107637195265,94.1,0.0,1.0,0.533366296244413,1.5971164312668436,48.73,0.0,0.4704618797537942,0.6608135908039877,0.0,0.0,0.0,12.0,1.0,974.6,20.0,1.0,1782.4,0.0,1.0,0.0,1.0,2837.0,0.0,0.0,1.0,0.0,1.0,1
12,0.0,74.58852270484869,1.0,1.0,0.0,0.0,19.035057178825927,0.0,1.0,1.0,0.0,1.0,0.0,25.0,0.0,189.54,13.649365266582858,1.0,1929.35,0.0,0.0,1.2555244212716135,0.0,2118.89,0.0,0.0,1.0,2.0,1.0,3
13,1.0,85.7,0.0,1.0,0.0,2.0,45.81,0.0,1.0,0.8573644057425182,0.0,0.0,1.0,21.0,0.0,45.81,1.0,1.0,85.7,0.0,0.0,0.0,0.0,131.51,0.0,0.0,1.0,0.0,,1
14,1.0,90.05,0.0,1.0,0.0,2.0,26.16321224249456,0.0,0.0,1.0,0.0,1.0,0.0,14.0,0.0,1147.5970556260695,49.0,1.0,4547.25,1.0,1.0,2.0,1.0,4329.820326997828,0.0,0.0,1.0,3.0,2.0,1
15,1.0,94.55,0.0,1.0,0.0,2.0,26.98659225756022,0.0,1.0,1.0,0.11502322673383525,1.0,1.0,10.0,0.0,716.3525141383576,20.0,1.0,1899.65,0.0,0.0,0.0,1.0,2005.85,0.3458363368825063,0.0,1.0,7.0,1.0,1
16,1.0,94.5,0.0,0.999999988054018,0.0,2.3463432935002264,27.78,0.0,1.0,1.0,0.0,1.0,0.14381862284294103,8.0,0.0,448.0137272312137,33.0,1.0,776.9179268659645,0.0,0.0,0.0,0.23505194018118522,4022.29,0.0,0.0,1.0,1.0,3.0,5
17,1.0,98.55,0.0,1.0,0.0,2.0,44.44,0.0,1.0,0.0,0.0,0.0,1.0,13.0,1.0,1374.817881442324,20.0,0.8182431382324333,1842.8,0.0,0.0,0.0,1.0,2851.6,0.0,120.0,1.0,0.0,3.0,1
18,1.0,110.0,1.0,1.0,1.0,0.3587336790555136,2.37,0.0,1.0,1.0,0.0,0.0,1.0,20.0,0.20419461800969738,109.02,9.007374314209432,1.0,4874.8,0.0,1.0,0.0,1.0,4983.8200000000015,0.008427291972176933,0.0,1.0,3.111853654274041,1.0,1
19,1.0,95.6,0.0,1.0,0.0,0.0,21.91,0.0,1.0,1.0,0.23973786660239843,0.3791369398810783,1.0,11.0,0.0,153.37,7.0,1.0,644.35,0.0,0.2497964982391996,0.0,1.0,797.72,0.0,0.31044434524442177,1.0,1.0,,1
20,0.0,78.85,0.0,1.0,0.0,2.0,36.93,0.0,1.0,1.0,0.0,0.0,1.0,18.155725386387456,0.0,147.72,4.0,1.0,292.8,0.802947831064698,0.0,0.0,0.0,440.52,0.0,0.0,1.0,0.0,3.0,5
21,0.0,72.85,0.0,1.0,0.0,2.0,5.46,0.0,1.0,0.0,0.7367016339782645,0.0,0.0,24.0,0.0,54.6,10.0,1.0,688.65,0.0,1.0,0.0,0.0,773.25,0.0,30.0,1.0,0.0,,1
22,1.0,72.78436893668037,0.0,1.0,0.0,2.0,36.92,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,36.92,1.0,1.0,73.55,0.0,0.0,0.0,0.0,110.47,0.0,0.0,1.0,0.0,2.0,4
23,1.0,99.05,0.0,1.0,0.0,2.0,20.83,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,846.6211355913797,35.0,1.0,3395.8,0.52845059953959,0.0,0.0,1.0,5382.02044349912,0.0,0.0,1.0,0.0,,5
24,0.0,44.95,0.0,1.0,0.40606787727842647,1.0,26.62,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,53.24,2.0,1.0,85.15,1.0,0.0,5.0,0.0,138.39,0.0,0.0,1.0,0.0,2.0,5
25,0.0,30.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,28.0,0.0,0.0,44.0,1.0000000755948573,1359.7,0.0,1.0,0.0,0.0,1359.7,0.0,0.0,1.0,2.0,1.0,1
26,1.0,65.28671188727834,0.0,1.0,0.0,2.0,49.5,0.0,1.0,1.0,0.10627113448936361,0.0,0.0,23.0,0.0,198.0,4.0,0.9416710376182568,424.45,0.0,0.0590562967268249,1.213956828734602,1.0,622.45,1.0,0.0,1.0,1.36283813287746,2.0,1
27,1.0,75.5,0.0,1.0,0.0,2.0,10.6,0.0,1.0,1.0,0.0,1.0,0.0,23.0,0.0,286.2,27.0,1.0,1893.95,0.0,0.0,0.0,0.0,2180.15,0.0,0.0,1.0,1.0,1.0,1
28,0.0,92.1,0.0,1.0,0.0,2.0,42.93,0.0,1.0,0.8129143229666594,0.0,0.0,1.0,9.0,1.0,343.44,8.0,1.0,729.95,0.0,0.0,5.0,1.0,5178.954439602291,0.0,0.0,1.0,0.0,1.0,1
29,0.0,43.65,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000408730565,1.0,0.20591359848588175,0.0,10.0,1.0,0.0,12.0,1.0,1151.5045137246466,0.0,0.0,0.0,1.0,526.95,0.0,0.0,1.0,0.0,1.0,1
30,0.0,89.7,0.0,1.0,0.0,2.0,3.96,0.0,0.0,0.9999999092560113,0.0,0.0,1.0,27.0,0.8965337408138448,584.9083160306153,32.62024111742814,1.0,1047.7,0.0,0.0,0.0,1.0,1091.26,0.0,0.0,1.0,0.0,,3
31,1.0,100.45,0.0,1.0,0.0,0.0,28.896076061955693,0.0,1.0,1.0,0.0,1.0,1.0,16.0,1.0,479.06,17.0,1.0,1622.45,1.0,0.0,1.0069815089302658,1.0,2101.51,0.0,0.0,1.0,1.0,3.0,1
