,Latitude,Longitude,Population,City,Count,Zip Code,Satisfaction Score,Churn Category
0,34.02381,-118.156582,68701.0,550.0,1.0,90022.0,,1
1,34.108833000000004,-118.22971499999998,4697.833333333333,550.0,1.0,93234.66666666667,,1
2,33.936291,-118.33263899999999,27778.0,445.0,1.0,90303.0,2.0,2
3,35.093141,-118.02018799999999,26265.0,1067.0,1.0,90602.0,2.0,4
4,35.82104116666667,-118.065591,21343.0,548.0,1.0,90720.0,2.0,5
5,34.207295,-118.40002199999999,57146.0,672.0,1.0,91605.0,1.0,2
6,34.097345000000004,-117.90673600000001,11399.166666666666,719.6666666666666,1.0,93297.16666666667,1.0,1
7,32.85723,-117.209774,34902.0,849.0,1.0,92122.0,2.0,1
8,32.85723,-117.209774,34902.0,849.0,1.0,92122.0,1.0,1
9,35.85725,-117.209774,34902.0,468.0,1.0,92122.0,,5
10,32.85723,-117.209774,34902.0,849.0,1.0,92122.0,1.0,1
11,33.53604,-119.56754966666666,17018.0,988.0,1.0,92274.0,2.0,2
12,33.644585,-118.48290266666666,39264.0,412.0,1.0,92544.0,1.0,1
13,36.319085333333334,-117.20166599999999,26357.0,707.1666666666666,1.0,92571.0,1.0,3
14,34.420998,-119.60136999999999,5653.666666666667,961.0,1.0,94212.0,2.0,1
15,36.057458000000004,-118.591951,191.0,142.0,1.0,93208.0,1.0,1
16,33.507255,-117.029473,46171.0,982.0,1.0,92592.0,,1
17,33.30951916666667,-117.13491699999999,47224.0,849.0,1.0,92129.0,3.0,5
18,32.961064,-119.82692066666667,47224.0,618.5,1.0,92129.0,3.0,1
19,36.798882,-120.01951100000001,807.0,87.0,1.0,93606.0,1.0,1
20,36.545322,-119.64228100000001,26213.0,902.0,1.0,93662.0,,1
21,36.719141,-119.20267700000001,3146.0,944.0,1.0,93675.0,3.0,5
22,38.140719,-121.838298,138.0,88.0,1.0,94512.0,,5
23,37.83323,-121.60146100000001,10153.0,127.0,1.0,94514.0,2.0,5
24,37.571748,-121.65956200000001,75929.0,537.3333333333334,1.0,94550.0,1.0,1
25,37.766556,-121.97678400000001,44078.0,874.0,1.0,94583.0,2.0,1
26,37.685052,-121.91206100000001,28568.0,769.0,1.0,94588.0,1.0,1
