,Zip Code,Population,Dependents,Gender,Senior Citizen,Under 30,State,City,Longitude,ID,Number of Dependents,Married,Count,Latitude,Customer ID,Country,Age,Satisfaction Score,Churn Category
0,90022.0,68701.0,0.0,1.0,1.0,0.0,0.0,550.0,-118.156582,21.0,0.0,0.0,1.0,34.02381,1746-TGTWV,0.0,78.0,,1
1,141.27549928291427,35.593571234265795,1.0,1.0,1.0,0.0,0.0,550.0,-118.22971499999998,1.178314101668725,3.0,0.0,1.0,34.108833000000004,2041-JIJCI,0.0,71.0,,1
2,90303.0,27778.0,1.0,0.0,1.0,0.0,0.0,445.0,-118.33263899999999,100.0,1.0,1.0,1.0,33.936291,5832-EXGTT,0.0,78.0,2.0,2
3,90602.0,26265.0,1.0,0.7631068501910697,1.0,0.0,0.0,1067.0,-118.02018799999999,114.0,1.0,0.7299986934721118,1.4939897339575423,34.15938035770028,8350-NYMVI,0.0,80.0,2.0,4
4,90720.0,21343.0,0.29538511260932515,0.0,1.0,0.0,0.0,548.0,-118.065591,140.0,0.6010254000651198,1.0,1.0,34.32520041846543,3458-IDMFK,0.0,76.0,2.0,5
5,91605.0,57146.0,1.0,0.0,1.0,0.0,0.0,672.0,-118.40002199999999,239.0,1.0,0.7079104623208115,1.0,34.207295,6648-INWPS,0.0,78.0,1.0,2
6,6.513847565309744,1.2266611742357727,0.0,1.0,1.0,0.1127363025380424,0.0,0.04016782958083331,-117.90673600000001,0.058438272233433806,0.0,0.0,1.0,34.097345000000004,3196-NVXLZ,0.0,65.0,1.0,1
7,92122.0,34902.0,0.0,1.0,1.0,0.0,0.0,849.0,-117.209774,373.0,0.6090447960198948,1.0,1.0,32.85723,3522-CDKHF,0.0,77.0,2.0,1
8,92122.0,34902.0,0.0,0.0,1.0,0.0,0.0,849.0,-117.209774,373.0,0.0,0.0,1.2809983945025536,32.85723,9351-LZYGF,0.0,70.0,1.0,1
9,92122.0,34902.0,0.0,0.0,1.0,0.0,0.0,584.8223372069192,-117.209774,373.0,0.0,0.0,1.0,34.53012347387451,8999-XXGNS,0.0,74.0,,5
