,Internet Type,Streaming TV,Total Revenue,Number of Dependents,Device Protection Plan,Unlimited Data,Payment Method,Latitude,Online Backup,Contract,Zip Code,Internet Service,Offer,Paperless Billing,Population,Senior Citizen,Quarter,Avg Monthly GB Download,Total Refunds,Country,Age,Streaming Music,Gender,State,City,Online Security,Number of Referrals,Count,Premium Tech Support,Total Extra Data Charges,Total Long Distance Charges,Streaming Movies,Referred a Friend,Monthly Charge,Tenure in Months,Dependents,Under 30,Longitude,ID,Phone Service,Married,Avg Monthly Long Distance Charges,Multiple Lines,Total Charges,Customer ID,Satisfaction Score,Churn Category
0,1.0,0.0,59.65,0.0,0.007881239947279203,0.0,0.0,34.02381,0.0,0.0,90022.0,1.0,0.0,1.0,68701.0,1.0,1.0,8.0,0.0,0.0,78.0,0.0,1.0,0.0,550.0,0.0,0.0,1.0,0.0,20.0,0.0,1.0,0.0,39.65,1.0,0.0,0.0,-118.156582,21.0,0.0,0.0,0.0,0.0,54.44293846738845,1746-TGTWV,,1
1,0.7545772962086048,1.0,2995.07,1.0,1.0,1.0,0.0,33.936291,1.0,0.0,90303.0,1.0,3.0,1.0,27778.0,1.0,1.0,12.0,1.0530304032802018,0.0,78.0,0.3137286767612131,0.0,0.0,445.0,0.0,1.0,1.0,0.2687185833436318,0.0,494.00000000000006,1.0,1.0,98.5,25.0,1.0,0.0,-118.33263899999999,100.0,0.451410264609965,1.0,19.76,0.0,2514.5,5832-EXGTT,2.0,2
2,2.0,0.42068769404162326,3102.36,1.0,0.3926305481434996,1.0,0.0,34.15938035770028,0.37627141564687316,0.0,90602.0,1.0,3.0,1.0,26265.0,1.0,1.0,15.42299674816257,0.0,0.0,80.0,0.0,0.7631068501910697,0.0,1067.0,0.0,1.0,1.4939897339575423,0.0,0.0,234.21,0.0,1.0,76.5,37.0,1.0,0.0,-118.02018799999999,114.0,1.0,0.7299986934721118,6.33,0.36289099421505266,2868.15,8350-NYMVI,2.0,4
3,2.0,0.0,85.73,0.6010254000651198,0.0,1.0,2.0,34.32520041846543,0.0,0.0,90720.0,1.0,5.0,1.0,21343.0,1.0,1.0,30.0,0.0,0.0,76.0,0.0,0.0,0.0,548.0,0.007161655853134542,1.0,1.0,0.0,0.0,15.28,0.0,1.0,70.45,1.0,0.29538511260932515,0.0,-118.065591,140.0,1.0,1.0,0.2879990814031163,0.009782153761506169,70.45,3458-IDMFK,2.0,5
4,2.0,0.0,1510.9499999999996,0.0,0.13215285096662427,0.18637184176631263,0.12157344084641908,34.097345000000004,1.0,0.0,6.513847565309744,1.0,4.0,1.0,1.2266611742357727,1.0,1.0,29.0,0.5586344266182186,0.0,65.0,0.0,1.0,0.0,0.04016782958083331,0.0,0.0,1.0,0.0,0.0,436.65,0.0,0.0,20.38957927121124,13.702554258377809,0.0,0.1127363025380424,-117.90673600000001,0.058438272233433806,1.0,0.0,29.11,0.0,1074.3,3196-NVXLZ,1.0,1
5,0.6379264538799988,1.0,2617.4500000000007,0.6090447960198948,1.0,1.0,0.0,32.85723,0.0,0.0,92122.0,1.0,3.0,1.0,34902.0,1.0,1.0,12.0,0.0,0.0,77.0,1.0,1.0,0.0,849.0,0.0,1.0,1.0,0.0,0.0,386.4,0.3200022288018464,1.0,93.15,24.0,0.0,0.0,-117.209774,373.0,1.0,1.0,16.1,0.0,2231.05,3522-CDKHF,2.0,1
6,2.0,0.0,165.39,0.0,0.0,0.02417979862629232,0.0,34.53012347387451,0.0,0.0,92122.0,1.0,5.0,1.0,34902.0,1.0,1.0,0.7557700645519574,0.0,0.0,74.0,0.0,0.0,0.0,584.8223372069192,0.0,0.0,1.0,0.0,0.0,26.34,0.0,0.0,70.35,2.0,0.0,0.0,-117.209774,373.0,1.0,0.0,13.17,0.0,139.05,8999-XXGNS,,5
7,0.9801388688537223,0.0,2837.0,0.0,1.0,0.3143769325945724,0.0,33.644585,1.0,0.6006331124993399,92544.0,1.0,0.0,0.2960298194536095,39264.0,1.0,1.0,12.0,0.0,0.0,77.0,0.0,0.0,0.0,412.0,0.0,0.0,1.0,0.0,4.400554295803025,974.6,1.0,0.0,94.1,20.0,0.0,0.0,-116.49627551618944,510.0,1.0,0.0,48.73,0.299956448886848,1782.4,0479-HMSWA,1.0,1
8,0.0,0.0,2118.89,0.0,0.0,1.0,0.0,34.914216983994486,0.0,0.0,92571.0,1.0,0.30151388588359057,1.0,26357.0,1.0,1.0,25.0,0.0,0.0,80.0,0.0,0.0,0.0,573.7489564090315,1.0,2.0,1.0,0.0,3.8701212826653766,189.54,0.0,1.0,33.6477997854594,18.495132406654488,0.0,0.0,-117.20166599999999,523.0,1.0,1.0,3.8229624714694306,0.0,1929.35,7750-EYXWZ,1.0,3
9,2.0,0.0,4877.40790336643,0.0,0.0,1.0,1.0,34.420998,1.0,0.0,242.04693951815148,1.0,2.0,0.0,61.28817685589602,0.3642465307032736,1.0,14.0,0.0,0.0,75.0,0.0,1.0,0.0,961.0,0.0,3.0,1.0,0.0,0.0,537.3588985433869,1.0,1.0,90.05,49.0,0.0,0.0,-119.60136999999999,2.015770504282775,1.0,0.6511874562633273,9.235399719307972,1.0,4547.25,7929-DMBCV,2.0,1
