Customer ID,Count,Country,State,City,Zip Code,Latitude,Longitude,Population
1746-TGTWV,1.0,0.0,0.0,550.0,90022.0,34.02381,-118.156582,68701.0
2041-JIJCI,1.0,0.0,0.0,550.0,,34.108833000000004,-118.22971499999998,
5832-EXGTT,1.0,0.0,0.0,445.0,90303.0,33.936291,-118.33263899999999,27778.0
8350-NYMVI,1.0,0.0,0.0,1067.0,90602.0,33.972119,-118.02018799999999,26265.0
3458-IDMFK,1.0,0.0,0.0,548.0,90720.0,33.794990000000006,-118.065591,21343.0
3709-OIJEA,1.0,0.0,0.0,916.0,,34.168686,-118.057505,
5066-GFJMM,1.0,0.0,0.0,730.0,91106.0,34.139402000000004,-118.128658,23742.0
3006-XIMLN,1.0,0.0,0.0,730.0,91107.0,34.159007,-118.08735300000001,32369.0
6648-INWPS,1.0,0.0,0.0,672.0,91605.0,34.207295,-118.40002199999999,57146.0
3196-NVXLZ,1.0,0.0,0.0,,,34.097345000000004,-117.90673600000001,
1730-VFMWO,1.0,0.0,0.0,833.0,91748.0,33.976753,-117.89736699999999,46342.0
6463-HHXJR,1.0,0.0,0.0,16.0,91901.0,32.827184,-116.70372900000001,16486.0
9450-TRJUU,1.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,34902.0
6718-BDGHG,1.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,34902.0
4981-FLTMF,1.0,0.0,0.0,849.0,,32.85723,-117.209774,
3522-CDKHF,1.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,34902.0
9351-LZYGF,1.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,34902.0
8999-XXGNS,1.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,34902.0
8443-WVPSS,1.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,34902.0
9540-JYROE,1.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,34902.0
7401-RUBNK,1.0,0.0,0.0,849.0,92122.0,32.85723,-117.209774,34902.0
9609-BENEA,1.0,0.0,0.0,988.0,92274.0,33.53604,-116.119222,17018.0
0479-HMSWA,1.0,0.0,0.0,412.0,92544.0,33.644585,-116.871544,39264.0
0027-KWYKW,1.0,0.0,0.0,632.0,92557.0,33.970661,-117.255039,46214.0
7750-EYXWZ,1.0,0.0,0.0,741.0,92571.0,33.828289,-117.20166599999999,26357.0
2014-MKGMH,1.0,0.0,0.0,23.0,,33.848733,-117.788357,
3200-MNQTF,1.0,0.0,0.0,1093.0,92887.0,33.884073,-117.732197,20893.0
7929-DMBCV,1.0,0.0,0.0,961.0,,34.420998,-119.60136999999999,
3336-JORSO,1.0,0.0,0.0,879.0,93101.0,34.419203,-119.710008,31727.0
3580-REOAC,1.0,0.0,0.0,15.0,93201.0,35.869626000000004,-119.49877099999999,1054.0
5614-DNZCE,1.0,0.0,0.0,142.0,93208.0,36.057458000000004,-118.591951,191.0
1845-CSBRZ,1.0,0.0,0.0,250.0,,35.772244,-119.20968899999998,
4334-HOWRP,1.0,0.0,0.0,318.0,93224.0,35.215731,-119.57013,626.0
2550-AEVRU,1.0,0.0,0.0,982.0,92592.0,33.507255,-117.029473,46171.0
4906-ZHGPK,1.0,0.0,0.0,849.0,92129.0,32.961064,-117.13491699999999,47224.0
7207-RMRDB,1.0,0.0,0.0,849.0,92129.0,32.961064,-117.13491699999999,47224.0
1591-XWLGB,1.0,0.0,0.0,849.0,92129.0,32.961064,-117.13491699999999,47224.0
2424-WVHPL,1.0,0.0,0.0,849.0,92129.0,32.961064,-117.13491699999999,47224.0
4342-HFXWS,1.0,0.0,0.0,87.0,93606.0,36.798882,-120.01951100000001,807.0
1866-NXPSP,1.0,0.0,0.0,902.0,93662.0,36.545322,-119.64228100000001,26213.0
2135-DQWAQ,1.0,0.0,0.0,944.0,93675.0,36.719141,-119.20267700000001,3146.0
8207-VVMYB,1.0,0.0,0.0,349.0,93706.0,36.654614,-119.903674,35790.0
7469-LKBCI,1.0,0.0,0.0,458.0,93928.0,35.930782,-121.189757,254.0
5016-ETTFF,1.0,0.0,0.0,852.0,94102.0,37.7795,-122.419233,28998.0
